id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;feridos;ilesos;ignorados;veiculos;latitude;longitude;regional;delegacia;uop
742921;01/01/2026;quinta-feira;04:04:00;TO;153;155;ARAGUAINA;Objeto estático sobre o leito carroçável;Tombamento;NA;Amanhecer;Crescente;Céu Claro;Simples;"Aclive;Reta";Não;3;1;0;0;0;1;0;5;-7,291548;-48,286252;SPRF-TO;DEL02-TO;UOP01-DEL02-TO
742942;01/01/2026;quinta-feira;06:40:00;MG;262;146,1;RIO CASCA;Condutor Dormindo;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;6;0;0;4;4;1;0;3;-20,0240733;-42,7422291;SPRF-MG;DEL03/MG;UOP03-DEL03-MG
742943;01/01/2026;quinta-feira;06:58:00;SC;101;193;BIGUACU;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Dupla;Curva;Sim;3;0;1;0;1;1;0;4;-27,48935222;-48,65565777;SPRF-SC;DEL01/SC;UOP01-DEL01-SC
742947;01/01/2026;quinta-feira;07:05:00;DF;60;23;BRASILIA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Aclive;Reta";Não;3;0;1;0;1;1;0;3;-15,988927;-48,2263;SPRF-DF;DEL03-DF;UOP01-DEL03-DF
742960;01/01/2026;quinta-feira;06:17:00;MT;163;1044;MATUPA;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Amanhecer;Decrescente;Sol;Simples;Reta;Não;3;0;0;1;1;1;0;5;-10,14330603;-54,93075559;SPRF-MT;DEL06/MT;UOP03-DEL06-MT
742971;01/01/2026;quinta-feira;08:50:00;SP;116;568;BARRA DO TURVO;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Declive;Curva";Não;2;0;1;0;1;0;0;2;-25,05566;-48,5546;SPRF-SP;DEL05/SP;UOP02-DEL05-SP
742985;01/01/2026;quinta-feira;12:00:00;MG;365;393,4;PATOS DE MINAS;Chuva;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;3;0;2;0;2;1;0;2;-18,63407;-46,3586;SPRF-MG;DEL10/MG;UOP01-DEL10-MG
742987;01/01/2026;quinta-feira;13:30:00;GO;40;103,7;CRISTALINA;Velocidade Incompatível;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;3;0;0;0;0;2;0;5;-16,812437;-47,559095;SPRF-DF;DEL01-DF;UOP02-DEL01-DF
742988;01/01/2026;quinta-feira;09:30:00;MG;153;245,5;FRONTEIRA;Frear bruscamente;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;"Aclive;Curva";Não;2;0;0;0;0;1;0;2;-20,294923;-49,205151;SPRF-MG;DEL13/MG;UOP02-DEL13-MG
742989;01/01/2026;quinta-feira;12:50:00;ES;262;107,9;VENDA NOVA DO IMIGRANTE;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;3;0;0;1;1;0;0;3;-20,333803;-41,163428;SPRF-ES;DEL01-ES;UOP02-DEL01-ES
