data_inversa;dia_semana;horario;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tipo_pista;tracado_via;uso_solo;mortos;acidente_fatal
2025-01-01;quarta-feira;06:20:00;SP;116;GUARULHOS;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Céu Claro;Múltipla;"Reta;Declive";Sim;0;false
2025-01-01;quarta-feira;07:50:00;CE;116;PENAFORTE;Pista esburacada;Colisão frontal;Com Vítimas Fatais;Pleno dia;Céu Claro;Simples;Reta;Não;1;true
2025-01-01;quarta-feira;08:45:00;PR;369;CORNELIO PROCOPIO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Sol;Dupla;"Reta;Aclive";Sim;0;false
2025-01-01;quarta-feira;11:00:00;PR;116;CAMPINA GRANDE DO SUL;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-01-01;quarta-feira;09:30:00;MG;251;FRANCISCO SA;Velocidade Incompatível;Colisão frontal;Com Vítimas Feridas;Pleno dia;Chuva;Simples;"Curva;Declive";Não;0;false
2025-01-01;quarta-feira;10:40:00;MT;70;CACERES;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Pleno dia;Céu Claro;Simples;Reta;Não;2;true
2025-01-01;quarta-feira;12:23:00;RS;116;TAPES;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-01-01;quarta-feira;17:45:00;SC;101;SAO JOSE;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;Reta;Sim;0;false
2025-01-01;quarta-feira;18:40:00;MG;116;MURIAE;Velocidade Incompatível;Tombamento;Com Vítimas Fatais;Anoitecer;Nublado;Simples;Curva;Não;1;true
2025-01-01;quarta-feira;17:00:00;PE;407;AFRANIO;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Céu Claro;Simples;"Aclive;Curva";Não;0;false
2025-01-01;quarta-feira;20:20:00;SC;101;CAPIVARI DE BAIXO;Ingestão de álcool pelo condutor;Colisão com objeto;Sem Vítimas;Pleno dia;Garoa/Chuvisco;Dupla;"Curva;Interseção de Vias";Sim;0;false
