uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SP;116;GUARULHOS;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Múltipla;"Reta;Declive";Sim;false
CE;116;PENAFORTE;1;quarta-feira;Pleno dia;Pista esburacada;Colisão frontal;Céu Claro;Simples;Reta;Não;true
PR;369;CORNELIO PROCOPIO;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;"Reta;Aclive";Sim;false
PR;116;CAMPINA GRANDE DO SUL;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
MG;251;FRANCISCO SA;1;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;"Curva;Declive";Não;false
MT;70;CACERES;1;quarta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Não;true
RS;116;TAPES;1;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
SC;101;SAO JOSE;1;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim;false
MG;116;MURIAE;1;quarta-feira;Anoitecer;Velocidade Incompatível;Tombamento;Nublado;Simples;Curva;Não;true
PE;407;AFRANIO;1;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;"Aclive;Curva";Não;false
SC;101;CAPIVARI DE BAIXO;1;quarta-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão com objeto;Garoa/Chuvisco;Dupla;"Curva;Interseção de Vias";Sim;false
MG;381;RIO MANSO;1;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;Curva;Não;false
PB;405;MARIZOPOLIS;1;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão frontal;Céu Claro;Simples;Curva;Sim;false
MG;116;MURIAE;1;quinta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Curva;Não;false
SC;153;CONCORDIA;1;quarta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Simples;"Reta;Declive";Não;false
PR;116;FAZENDA RIO GRANDE;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Sol;Dupla;Reta;Sim;false
PB;230;MOGEIRO;1;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
MT;163;GUARANTA DO NORTE;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Garoa/Chuvisco;Dupla;"Curva;Aclive";Não;false
PR;163;CAPITAO LEONIDAS MARQUES;1;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Céu Claro;Dupla;"Declive;Reta";Sim;true
MG;40;CONSELHEIRO LAFAIETE;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim;false
MT;163;SINOP;1;quinta-feira;Pleno dia;Chuva;Colisão com objeto;Chuva;Simples;Retorno Regulamentado;Sim;false
PE;232;JABOATAO DOS GUARARAPES;1;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Não;false
PR;116;SAO JOSE DOS PINHAIS;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Reta;Aclive";Não;false
ES;262;MARECHAL FLORIANO;1;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Simples;"Ponte;Declive;Curva";Não;false
PE;101;IGARASSU;1;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim;false
RJ;101;RIO DE JANEIRO;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Curva;Ponte";Não;false
CE;222;TIANGUA;1;quinta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Sol;Simples;Reta;Não;false
MA;135;MIRANDA DO NORTE;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não;false
RS;287;MATA;1;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RJ;116;PINHEIRAL;1;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Não;false
RS;290;SAO SEPE;1;quinta-feira;Anoitecer;Ausência de reação do condutor;Colisão frontal;Céu Claro;Simples;Curva;Não;false
TO;230;SAO BENTO DO TOCANTINS;1;quinta-feira;Plena Noite;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Aclive;Não;false
RJ;393;TRES RIOS;1;quinta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Sim;false
PR;376;TIBAGI;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Chuva;Dupla;"Curva;Declive";Não;false
PI;135;JERUMENHA;1;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Não;false
GO;364;MINEIROS;1;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Simples;Reta;Sim;true
PR;369;JURANDA;1;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão frontal;Céu Claro;Simples;Reta;Não;true
MG;116;SANTA BARBARA DO LESTE;1;quinta-feira;Plena Noite;Pedestre andava na pista;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Não;false
GO;20;FORMOSA;1;sexta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Chuva;Simples;"Em Obras;Declive;Curva";Sim;false
SC;282;FAXINAL DOS GUEDES;1;sexta-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não;false
MG;381;BETIM;1;sexta-feira;Plena Noite;Acumulo de água sobre o pavimento;Saída de leito carroçável;Chuva;Múltipla;"Curva;Declive";Não;false
PE;101;IGARASSU;1;sexta-feira;Amanhecer;Manobra de mudança de faixa;Colisão traseira;Vento;Dupla;Reta;Não;false
ES;101;CARIACICA;1;sexta-feira;Amanhecer;Ausência de reação do condutor;Engavetamento;Nublado;Dupla;"Aclive;Reta";Sim;false
BA;116;ENCRUZILHADA;1;sexta-feira;Amanhecer;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Declive;Reta";Não;true
PB;101;BAYEUX;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Declive;Sim;false
MG;251;FRUTA DE LEITE;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;Reta;Não;false
PE;232;SERTANIA;1;sexta-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Céu Claro;Simples;Reta;Não;false
SP;116;CAJATI;1;sexta-feira;Pleno dia;Curva acentuada;Tombamento;Céu Claro;Simples;"Curva;Declive";Não;false
RO;364;VILHENA;1;sexta-feira;Pleno dia;Área urbana sem a presença de local apropriado para a travessia de pedestres;Colisão lateral sentido oposto;Nublado;Simples;Reta;Sim;false
PE;232;RECIFE;1;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim;false
SC;101;BALNEARIO CAMBORIU;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim;false
SP;381;MAIRIPORA;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;"Reta;Declive";Não;false
GO;153;PORANGATU;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Simples;Reta;Não;false
RS;290;ROSARIO DO SUL;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim;false
BA;101;ESPLANADA;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Simples;"Em Obras;Desvio Temporário;Reta";Não;false
PR;277;LARANJEIRAS DO SUL;1;sexta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;"Aclive;Interseção de Vias;Reta";Não;false
SC;101;JOINVILLE;1;sexta-feira;Pleno dia;Estacionar ou parar em local proibido;Colisão traseira;Sol;Múltipla;"Aclive;Reta";Sim;true
MS;158;APARECIDA DO TABOADO;1;sexta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não;true
SC;101;BARRA VELHA;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não;false
MG;40;ITABIRITO;1;sexta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Chuva;Dupla;Curva;Não;false
