Causa de Acidente;Total de Acidentes;Total de Acidentes Fatais;Total de Mortos;Taxa de Acidentes Fatais;Lift
Suicídio (presumido);190;106;111;55,79%;7.77
Pedestre andava na pista;606;250;252;41,25%;5.74
Entrada inopinada do pedestre;667;203;209;30,43%;4.24
Transitar na contramão;2475;736;961;29,74%;4.14
Participar de racha;22;6;7;27,27%;3.8
Pedestre cruzava a pista fora da faixa;525;130;133;24,76%;3.45
Falta de acostamento;60;11;11;18,33%;2.55
Modificação proibida;11;2;2;18,18%;2.53
Pedestre - Ingestão de álcool/ substâncias psicoativas;150;27;28;18,00%;2.51
Ultrapassagem Indevida;1770;302;404;17,06%;2.38
Transtornos Mentais (exceto suicidio);59;10;10;16,95%;2.36
Restrição de visibilidade em curvas verticais;13;2;2;15,38%;2.14
Área urbana sem a presença de local apropriado para a travessia de pedestres;81;12;12;14,81%;2.06
Iluminação deficiente;157;23;24;14,65%;2.04
Deficiência do Sistema de Iluminação/Sinalização;165;24;24;14,55%;2.02
Mal súbito do condutor;546;73;87;13,37%;1.86
Transitar no Acostamento;498;65;71;13,05%;1.82
Semáforo com defeito;8;1;1;12,50%;1.74
Velocidade Incompatível;4088;385;470;9,42%;1.31
Curva acentuada;203;17;19;8,37%;1.17
Sinalização mal posicionada;61;5;6;8,20%;1.14
Problema com o freio;247;19;21;7,69%;1.07
Demais falhas na via;275;19;23;6,91%;0.96
Ausência de reação do condutor;11469;779;855;6,79%;0.95
Deixar de acionar o farol da motocicleta (ou similar);15;1;1;6,67%;0.93
Condutor Dormindo;2116;135;171;6,38%;0.89
Afundamento ou ondulação no pavimento;206;12;14;5,83%;0.81
Animais na Pista;1305;72;78;5,52%;0.77
Acessar a via sem observar a presença dos outros veículos;7097;394;421;5,55%;0.77
Acesso irregular;768;42;43;5,47%;0.76
Estacionar ou parar em local proibido;182;10;11;5,49%;0.76
Acostamento em desnível;167;9;9;5,39%;0.75
Condutor usando celular;189;10;12;5,29%;0.74
Pista esburacada;232;12;17;5,17%;0.72
Falta de elemento de contenção que evite a saída do leito carroçável;59;3;4;5,08%;0.71
Reação tardia ou ineficiente do condutor;10799;528;597;4,89%;0.68
Ingestão de álcool pelo condutor;3685;180;223;4,88%;0.68
Ingestão de substâncias psicoativas pelo condutor;62;3;3;4,84%;0.67
Conversão proibida;1018;48;55;4,72%;0.66
Desvio temporário;45;2;2;4,44%;0.62
Restrição de visibilidade em curvas horizontais;23;1;1;4,35%;0.61
Retorno proibido;325;14;17;4,31%;0.6
Pista Escorregadia;545;23;37;4,22%;0.59
Trafegar com motocicleta (ou similar) entre as faixas;1325;53;56;4,00%;0.56
Manobra de mudança de faixa;4016;161;188;4,01%;0.56
Ausência de sinalização;178;7;7;3,93%;0.55
Carga excessiva e/ou mal acondicionada;256;10;10;3,91%;0.54
Objeto estático sobre o leito carroçável;412;16;17;3,88%;0.54
Chuva;1020;38;46;3,73%;0.52
Acumulo de água sobre o pavimento;477;16;23;3,35%;0.47
Problema na suspensão;38;1;1;2,63%;0.37
Condutor desrespeitou a iluminação vermelha do semáforo;268;7;8;2,61%;0.36
Demais Fenômenos da natureza;84;2;2;2,38%;0.33
Avarias e/ou desgaste excessivo no pneu;1176;26;31;2,21%;0.31
Neblina;50;1;1;2,00%;0.28
Condutor deixou de manter distância do veículo da frente;4413;78;89;1,77%;0.25
Desrespeitar a preferência no cruzamento;1259;22;27;1,75%;0.24
Frear bruscamente;358;6;7;1,68%;0.23
Acumulo de areia ou detritos sobre o pavimento;308;5;7;1,62%;0.23
Demais falhas mecânicas ou elétricas;3385;52;59;1,54%;0.21
Acumulo de óleo sobre o pavimento;228;3;5;1,32%;0.18
Faróis desregulados;9;0;0;0,00%;0.0
Transitar na calçada;11;0;0;0,00%;0.0
Redutor de velocidade em desacordo;8;0;0;0,00%;0.0
Declive acentuado;19;0;0;0,00%;0.0
Sinalização encoberta;2;0;0;0,00%;0.0
Faixas de trânsito com largura insuficiente;12;0;0;0,00%;0.0
Sistema de drenagem ineficiente;2;0;0;0,00%;0.0
Fumaça;31;0;0;0,00%;0.0
