Tipo de Acidente;Total de Acidentes;Total de Acidentes Fatais;Total de Mortos;Taxa de Acidentes Fatais;Lift
Atropelamento de Pedestre;3057;902;919;29,51%;4.11
Colisão frontal;4739;1396;1863;29,46%;4.1
Colisão lateral sentido oposto;2152;212;255;9,85%;1.37
Eventos atípicos;287;23;24;8,01%;1.12
Atropelamento de Animal;1133;68;74;6,00%;0.84
Saída de leito carroçável;10209;605;700;5,93%;0.82
Colisão com objeto;5109;297;323;5,81%;0.81
Capotamento;1373;63;74;4,59%;0.64
Colisão transversal;9306;427;481;4,59%;0.64
Colisão traseira;14360;619;683;4,31%;0.6
Tombamento;6351;268;293;4,22%;0.59
Derramamento de carga;107;3;3;2,80%;0.39
Colisão lateral mesmo sentido;7885;212;228;2,69%;0.37
Queda de ocupante de veículo;3450;87;89;2,52%;0.35
Engavetamento;1233;28;34;2,27%;0.32
Incêndio;1771;0;0;0,00%;0.0
Sinistro pessoal de trânsito;7;0;0;0,00%;0.0
