Estados;Total de Acidentes;Total de Acidentes Fatais;Total de Mortos;Taxa de Acidentes Fatais;Lift
MA;1262;236;281;18,70%;2.6
PA;1117;193;224;17,28%;2.41
RR;142;23;28;16,20%;2.25
AM;138;19;26;13,77%;1.92
AL;629;86;96;13,67%;1.9
TO;677;83;102;12,26%;1.71
CE;1302;153;171;11,75%;1.64
BA;4108;476;583;11,59%;1.61
AC;280;29;29;10,36%;1.44
PE;3013;302;336;10,02%;1.4
PI;1490;149;168;10,00%;1.39
MS;1654;136;150;8,22%;1.14
MT;2636;204;243;7,74%;1.08
GO;3196;247;308;7,73%;1.08
SE;589;44;51;7,47%;1.04
MG;9570;647;765;6,76%;0.94
PR;7630;511;593;6,70%;0.93
PB;1978;127;142;6,42%;0.89
RN;1648;102;111;6,19%;0.86
RO;1452;86;102;5,92%;0.82
RS;4899;275;327;5,61%;0.78
ES;2642;145;161;5,49%;0.76
AP;169;9;14;5,33%;0.74
RJ;6428;306;330;4,76%;0.66
SC;8186;374;434;4,57%;0.64
SP;4683;205;221;4,38%;0.61
DF;1011;43;47;4,25%;0.59
